,Feature,Importance
0,CNN All Rasters,0.2578508947803292
1,IDW Cr,0.15016727007971453
2,IDW Ni,0.13531716034211771
3,IDW Pb,0.13021924632401616
4,IDW Sand,0.11966719898391454
5,Pb,0.08901021254208974
6,Fe,0.06272385190629703
7,Silt,0.04643855384282791
8,IDW As,0.03766935675041616
9,Clay,0.034938749528848456
10,As,0.03014764069040954
11,Sand,0.027247810021662322
12,Num Brick Field,0.02454959275591817
13,IDW Silt,0.017386010103978222
14,Cr,0.012088846953317356
15,IDW Clay,0.011763549919673988
16,Ni,0.009316467689250318
17,IDW Cd,0.00872245429034102
18,Num Industry,0.007756740295390974
19,IDW Cu,0.005819625429118069
20,Cd,0.0013922876417910013
21,Moisture,0.00045439400898150684
22,Hydro Dist Ind,9.227514197185371e-09
23,Hydro Dist Brick,-2.8317152400703094e-08
24,GNN Distance Matrix,-1.9318892668929166e-05
25,Cu,-0.011893058700594872
