Rank,Permutation-based Importance,LIME (Local Instance-level Importance),Intrinsic (Gradient Boosting Importance)
1,CNN_all_rasters (0.258),CuR > 0.91 (+40.68),PbR (0.853)
2,CNN_CrR (0.150),PbR > 0.63 (+37.53),NiR (0.099)
3,CNN_NiR (0.135),num_brick_field ≤ 1.62 (−34.86),AsR (0.013)
4,CNN_PbR (0.130),num_industry ≤ 1.89 (−20.95),CrR (0.012)
5,CNN_SandR (0.120),FeR (0.07–1.13) (+17.82),CuR (0.012)
6,CNN_AsR (0.038),NiR > 1.28 (+14.18),CdR (0.003)
7,CNN_SiltR (0.017),CdR > 0.13 (+8.21),SiltR (0.003)
8,CNN_ClayR (0.012),AsR ≤ −0.58 (−6.10),SandR (0.002)
9,CNN_CdR (0.009),ClayR (−5.98),hydro_dist_ind (0.001)
10,CNN_CuR (0.006),CrR > 0.68 (+3.78),ClayR (0.001)
11,MLP_PbR (0.089),—,FeR (0.0005)
12,MLP_FeR (0.063),—,MR (0.0004)
13,MLP_SiltR (0.046),—,hydro_dist_brick (0.0001)
14,MLP_ClayR (0.035),—,num_brick_field (~0.0)
15,MLP_AsR (0.030),—,num_industry (~0.0)
