Rank,Method,Feature,Importance_Value
1,Permutation-based Importance,CNN_all_rasters,0.258
2,Permutation-based Importance,CNN_CrR,0.15
3,Permutation-based Importance,CNN_NiR,0.135
4,Permutation-based Importance,CNN_PbR,0.13
5,Permutation-based Importance,CNN_SandR,0.12
6,Permutation-based Importance,CNN_AsR,0.038
7,Permutation-based Importance,CNN_SiltR,0.017
8,Permutation-based Importance,CNN_ClayR,0.012
9,Permutation-based Importance,CNN_CdR,0.009
10,Permutation-based Importance,CNN_CuR,0.006
11,Permutation-based Importance,MLP_PbR,0.089
12,Permutation-based Importance,MLP_FeR,0.063
13,Permutation-based Importance,MLP_SiltR,0.046
14,Permutation-based Importance,MLP_ClayR,0.035
15,Permutation-based Importance,MLP_AsR,0.03
1,LIME (Local Instance-level Importance),CuR > 0.91,40.68
2,LIME (Local Instance-level Importance),PbR > 0.63,37.53
3,LIME (Local Instance-level Importance),num_brick_field ≤ 1.62,-34.86
4,LIME (Local Instance-level Importance),num_industry ≤ 1.89,-20.95
5,LIME (Local Instance-level Importance),FeR (0.07–1.13) (+17.82),
6,LIME (Local Instance-level Importance),NiR > 1.28,14.18
7,LIME (Local Instance-level Importance),CdR > 0.13,8.21
8,LIME (Local Instance-level Importance),AsR ≤ −0.58,-6.1
9,LIME (Local Instance-level Importance),ClayR,-5.98
10,LIME (Local Instance-level Importance),CrR > 0.68,3.78
11,LIME (Local Instance-level Importance),—,
12,LIME (Local Instance-level Importance),—,
13,LIME (Local Instance-level Importance),—,
14,LIME (Local Instance-level Importance),—,
15,LIME (Local Instance-level Importance),—,
1,Intrinsic (Gradient Boosting Importance),PbR,0.853
2,Intrinsic (Gradient Boosting Importance),NiR,0.099
3,Intrinsic (Gradient Boosting Importance),AsR,0.013
4,Intrinsic (Gradient Boosting Importance),CrR,0.012
5,Intrinsic (Gradient Boosting Importance),CuR,0.012
6,Intrinsic (Gradient Boosting Importance),CdR,0.003
7,Intrinsic (Gradient Boosting Importance),SiltR,0.003
8,Intrinsic (Gradient Boosting Importance),SandR,0.002
9,Intrinsic (Gradient Boosting Importance),hydro_dist_ind,0.001
10,Intrinsic (Gradient Boosting Importance),ClayR,0.001
11,Intrinsic (Gradient Boosting Importance),FeR,0.0005
12,Intrinsic (Gradient Boosting Importance),MR,0.0004
13,Intrinsic (Gradient Boosting Importance),hydro_dist_brick,0.0001
14,Intrinsic (Gradient Boosting Importance),num_brick_field (~0.0),
15,Intrinsic (Gradient Boosting Importance),num_industry (~0.0),
